# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
      91.442      149.600     2827.895    17281.250
      91.647      136.500     2827.895    17281.250
      91.856      177.000     2827.895    17281.250
      92.067      118.800     2827.895    17281.250
      92.271      171.000     2827.895    17281.250
      92.477      126.500     2827.895    17281.250
      92.682      117.200     2827.895    17281.250
      92.892      137.900     2827.895    17281.250
      93.097      141.600     2827.895    17281.250
      93.302      112.400     2827.895    17281.250
      93.510      153.800     2827.895    17281.250
      93.716      140.800     2827.895    17281.250
      93.924      139.200     2827.895    17281.250
      94.135      142.200     2827.895    17281.250
      94.343      144.200     2827.895    17281.250
      94.551      124.900     2827.895    17281.250
      94.759      148.800     2827.895    17281.250
      94.971      160.900     2827.895    17281.250
      95.181      133.200     2827.895    17281.250
      95.386      151.100     2827.895    17281.250
      95.597      137.500     2827.895    17281.250
      95.807      166.500     2827.895    17281.250
      96.015      177.700     2827.895    17281.250
      96.225      133.300     2827.895    17281.250
      96.438      173.700     2827.895    17281.250
      96.655      194.200     2828.410    17281.250
      96.866      156.200     2828.410    17281.250
      97.077      142.400     2828.410    17281.250
      97.287      133.000     2828.410    17281.250
      97.495      153.700     2828.410    17281.250
      97.707      165.400     2828.668    17281.250
      97.917      142.600     2828.668    17281.250
      98.129      165.500     2828.668    17281.250
      98.338      129.500     2828.668    17281.250
      98.548      137.900     2828.668    17281.250
      98.759      142.300     2828.668    17281.250
      98.969      147.400     2828.668    17281.250
      99.179      119.300     2828.668    17281.250
      99.389      175.700     2828.668    17281.250
      99.598      138.800     2828.668    17281.250
      99.807      138.800     2828.668    17281.250
     100.017      128.500     2828.668    17281.250
     100.227      133.200     2828.668    17281.250
     100.438      128.100     2828.668    17281.250
     100.649      166.400     2828.668    17281.250
     100.860      118.100     2828.668    17281.250
     101.071      137.900     2828.668    17281.250
     101.281      114.100     2828.668    17281.250
     101.491      138.200     2828.668    17281.250
     101.701      128.400     2828.668    17281.250
     101.915      131.100     2828.668    17281.250
     102.124      143.500     2828.668    17281.250
     102.338      130.500     2828.668    17281.250
     102.549      166.300     2828.668    17281.250
     102.758      110.100     2828.668    17281.250
     102.966      144.200     2828.668    17281.250
     103.176      137.700     2828.668    17281.250
     103.387      142.700     2828.668    17281.250
     103.598      123.100     2828.668    17281.250
     103.808      138.000     2828.668    17281.250
     104.018      114.100     2828.668    17281.250
     104.229      128.400     2828.668    17281.250
     104.439      137.900     2828.668    17281.250
     104.651      136.500     2828.668    17281.250
     104.861      138.100     2828.926    17281.250
     105.072      175.900     2829.184    17281.250
     105.278      135.900     2829.184    17281.250
     105.486      177.600     2829.184    17281.250
     105.691      131.500     2829.184    17281.250
     105.896      127.100     2829.441    17281.250
     106.106      166.500     2829.441    17281.250
     106.312      136.200     2829.441    17281.250
     106.516      151.600     2829.441    17281.250
     106.725      139.000     2829.441    17281.250
     106.935      142.700     2829.441    17281.250
     107.140      190.700     2829.441    17281.250
     107.348      134.500     2829.441    17281.250
     107.557      138.800     2829.441    17281.250
     107.764      149.800     2829.441    17281.250
     107.974      128.500     2829.441    17281.250
     108.183      148.200     2829.441    17281.250
