timestamp, utilization.gpu [%], memory.used [MiB]
2023/04/19 14:39:25.779, 92, 2334
2023/04/19 14:39:25.982, 92, 2334
2023/04/19 14:39:26.182, 92, 2334
2023/04/19 14:39:26.383, 92, 2334
2023/04/19 14:39:26.584, 93, 2334
2023/04/19 14:39:26.784, 93, 2334
2023/04/19 14:39:26.985, 93, 2334
2023/04/19 14:39:27.186, 93, 2334
2023/04/19 14:39:27.387, 93, 2334
2023/04/19 14:39:27.588, 91, 2334
2023/04/19 14:39:27.788, 91, 2334
2023/04/19 14:39:27.990, 91, 2334
2023/04/19 14:39:28.191, 91, 2334
2023/04/19 14:39:28.391, 91, 2334
2023/04/19 14:39:28.592, 92, 2334
2023/04/19 14:39:28.793, 92, 2334
2023/04/19 14:39:28.993, 92, 2334
2023/04/19 14:39:29.194, 92, 2334
2023/04/19 14:39:29.394, 92, 2334
2023/04/19 14:39:29.595, 93, 2334
2023/04/19 14:39:29.796, 93, 2334
2023/04/19 14:39:29.996, 93, 2334
2023/04/19 14:39:30.197, 93, 2334
2023/04/19 14:39:30.398, 93, 2334
2023/04/19 14:39:30.598, 93, 2334
2023/04/19 14:39:30.799, 93, 2334
2023/04/19 14:39:31.001, 93, 2334
2023/04/19 14:39:31.201, 93, 2334
2023/04/19 14:39:31.402, 93, 2334
2023/04/19 14:39:31.604, 91, 2334
2023/04/19 14:39:31.805, 91, 2334
2023/04/19 14:39:32.007, 91, 2334
2023/04/19 14:39:32.208, 91, 2334
2023/04/19 14:39:32.409, 91, 2334
2023/04/19 14:39:32.610, 92, 2334
2023/04/19 14:39:32.810, 92, 2334
2023/04/19 14:39:33.011, 92, 2334
2023/04/19 14:39:33.212, 92, 2334
2023/04/19 14:39:33.412, 92, 2334
2023/04/19 14:39:33.613, 92, 2334
2023/04/19 14:39:33.814, 92, 2334
2023/04/19 14:39:34.014, 92, 2334
2023/04/19 14:39:34.215, 92, 2334
2023/04/19 14:39:34.415, 92, 2334
2023/04/19 14:39:34.616, 92, 2334
2023/04/19 14:39:34.818, 92, 2334
2023/04/19 14:39:35.019, 92, 2334
2023/04/19 14:39:35.220, 92, 2334
2023/04/19 14:39:35.422, 92, 2334
2023/04/19 14:39:35.623, 91, 2334
2023/04/19 14:39:35.824, 91, 2334
2023/04/19 14:39:36.026, 91, 2334
2023/04/19 14:39:36.228, 91, 2334
2023/04/19 14:39:36.430, 91, 2334
2023/04/19 14:39:36.632, 93, 2334
2023/04/19 14:39:36.834, 93, 2334
2023/04/19 14:39:37.036, 93, 2334
2023/04/19 14:39:37.237, 93, 2334
2023/04/19 14:39:37.439, 93, 2334
2023/04/19 14:39:37.641, 92, 2334
2023/04/19 14:39:37.843, 92, 2334
2023/04/19 14:39:38.045, 92, 2334
2023/04/19 14:39:38.247, 92, 2334
2023/04/19 14:39:38.449, 92, 2334
2023/04/19 14:39:38.651, 91, 2334
2023/04/19 14:39:38.852, 91, 2334
2023/04/19 14:39:39.054, 91, 2334
2023/04/19 14:39:39.256, 91, 2334
2023/04/19 14:39:39.458, 91, 2334
2023/04/19 14:39:39.660, 91, 2334
2023/04/19 14:39:39.862, 91, 2334
2023/04/19 14:39:40.064, 91, 2334
2023/04/19 14:39:40.266, 91, 2334
2023/04/19 14:39:40.468, 91, 2334
2023/04/19 14:39:40.670, 93, 2334
2023/04/19 14:39:40.871, 93, 2334
2023/04/19 14:39:41.072, 93, 2334
2023/04/19 14:39:41.273, 93, 2334
2023/04/19 14:39:41.474, 93, 2334
2023/04/19 14:39:41.674, 91, 2334
2023/04/19 14:39:41.875, 91, 2334
2023/04/19 14:39:42.076, 91, 2334
2023/04/19 14:39:42.276, 91, 2334
2023/04/19 14:39:42.477, 91, 2334
2023/04/19 14:39:42.677, 93, 2334
2023/04/19 14:39:42.878, 93, 2334
2023/04/19 14:39:43.079, 93, 2334
2023/04/19 14:39:43.280, 93, 2334
2023/04/19 14:39:43.480, 93, 2334
2023/04/19 14:39:43.681, 92, 2334
2023/04/19 14:39:43.882, 92, 2334
2023/04/19 14:39:44.082, 92, 2334
2023/04/19 14:39:44.283, 92, 2334
2023/04/19 14:39:44.484, 92, 2334
2023/04/19 14:39:44.685, 93, 2334
2023/04/19 14:39:44.886, 93, 2334
2023/04/19 14:39:45.088, 93, 2334
2023/04/19 14:39:45.289, 93, 2334
2023/04/19 14:39:45.491, 93, 2334
2023/04/19 14:39:45.692, 92, 2334
2023/04/19 14:39:45.894, 92, 2334
2023/04/19 14:39:46.094, 92, 2334
2023/04/19 14:39:46.295, 92, 2334
2023/04/19 14:39:46.496, 92, 2334
2023/04/19 14:39:46.696, 92, 2334
2023/04/19 14:39:46.897, 92, 2334
2023/04/19 14:39:47.098, 92, 2334
2023/04/19 14:39:47.298, 92, 2334
2023/04/19 14:39:47.499, 92, 2334
2023/04/19 14:39:47.699, 93, 2334
2023/04/19 14:39:47.900, 93, 2334
2023/04/19 14:39:48.100, 93, 2334
2023/04/19 14:39:48.301, 93, 2334
2023/04/19 14:39:48.502, 93, 2334
2023/04/19 14:39:48.702, 93, 2334
2023/04/19 14:39:48.904, 93, 2334
2023/04/19 14:39:49.105, 93, 2334
2023/04/19 14:39:49.306, 93, 2334
2023/04/19 14:39:49.507, 93, 2334
2023/04/19 14:39:49.708, 92, 2334
2023/04/19 14:39:49.908, 92, 2334
2023/04/19 14:39:50.109, 92, 2334
2023/04/19 14:39:50.310, 92, 2334
